Name,X,Y
wr,558,135
fe,650,207
sa,627,266
fa,566,304
ia,633,299
su,665,374
xg,630,410
lg,628,452
gd,632,496
gm,701,438
sc,720,389
ca,723,428
er,685,490
ws,655,582
bn,715,572
wi,622,655
we,685,638
nc,672,676
nr,623,744
fc,653,734
es,698,741
kp,622,797
gu,658,791
bf,694,776
nb,664,832
sb,677,859
da,600,871
ap,752,900
hu,743,961
ba,793,925
tt,629,1015
cm,748,1031
fi,779,1031
ks,841,1010
ga,801,1081
rm,1031,1130
ex,1082,1114
cx,1050,1085
oa,1116,1119
hs,1107,1084
ep,1173,1101
ru,1254,1067
m2,1134,1021
dn,1424,1106
cb,1369,1028
bi,1408,1030
zc,1474,1022
cn,1564,1100
jp,1452,721
rg,1400,710
ml,1433,673
me,1410,669
kl,1478,629
ah,1440,639
th,1409,614
cr,1423,571
sr,1542,582
tf,1389,557
pi,1397,526
oh,1551,497
bs,1554,473
br,1511,473
eh,1476,442
lb,1446,454
pr,1404,457
nf,1346,431
em,1320,401
vc,1354,374
bc,1327,356
bt,1364,340
bw,1400,367
ub,1435,362
rj,1465,358
lc,1521,375
gc,1358,331
an,1338,293
mg,1356,265
li,1316,261
va,1096,296
fh,1239,359
ej,1189,362
lw,1217,416
rw,815,573
rb,807,523
rl,793,416
bl,835,394
in,833,365
ge,842,307
cs,840,248
co,836,214
lm,837,773
mp,780,822
ab,838,856
rt,903,403
is,903,346
ww,904,310
ir,901,273
ad,841,115
jh,845,147
wo,882,215
oi,986,149
sk,1033,147
mk,955,207
wa,892,253
go,951,246
hi,931,505
ma,948,469
wt,905,552
up,927,606
mo,885,611
ss,806,667
sd,896,667
gs,896,738
dr,929,719
uc,1040,683
vp,1049,364
gi,1010,380
la,999,415
mu,1012,443
gr,1023,473
tc,1067,466
wy,1090,551
hh,1129,592
tr,1078,636
so,1100,678
mm,911,758
kx,928,795
ce,898,827
vi,963,812
si,943,865
pg,903,900
ch,983,868
gb,932,941
cu,915,984
ea,951,982
wb,947,1030
pt,1007,984
sf,997,934
mc,1061,955
ha,1071,994
mb,1060,1021
rs,1115,995
dc,1122,977
ms,1133,914
mr,1168,878
cg,1193,820
sm,1142,791
fg,1160,992
pb,1205,997
nl,1215,972
my,898,827
spadina,581,192
stgeorge1,874,182
stgeorge2,1049,178
museum,1275,355
queenspark,1259,1054
